"","NFE","NFE_2","ED0","ED0_2","ED1","ED1_2","ED2","ED2_2","ED6","ED6_2","ED13","ED13_2","N1","N1_2","N3","N3_2","N5","N5_2","N6","N6_2","Adult","Adult_2"
"Bger_05466",45,43,35,72,23,57,37,34,67,26,141,59,20,11,18,18,10,23,15,4,13,9
"Bger_05465",1,0,0,1,0,0,4,2,1,1,11,4,6,16,35,52,12,42,22,21,47,43
"Bger_05464",728,964,479,1295,96,628,131,235,122,59,176,97,82,57,53,71,37,82,55,66,68,60
"Bger_05469",1,0,0,0,0,0,7,2,1,5,6,5,2,0,3,4,0,1,0,1,1,0
"Bger_05468",30,30,9,44,1,17,55,21,44,16,81,30,12,8,23,11,7,14,9,13,6,4
"Bger_05470",13,5,0,0,1,3,40,35,37,63,107,68,24,21,56,29,16,15,17,28,5,6
"Bger_05467",40,33,22,42,119,128,447,382,205,60,49,43,46,49,36,51,18,50,29,28,59,42
"Bger_05472",304,334,170,403,47,192,83,83,37,13,40,40,11,12,23,22,13,26,16,24,23,11
"Bger_05474",0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0
"Bger_05476",222,110,4,5,0,3,1,1,15,28,96,58,622,293,25,51,23,48,28,30,29,20
"Bger_05473",41,23,16,41,6,23,17,6,11,3,19,14,24,47,21,60,16,81,23,41,86,44
"Bger_05471",2,4,0,1,1,5,5,13,2,9,21,11,4,10,6,5,6,3,9,4,5,4
"Bger_05475",1,1,0,7,0,0,0,2,7,3,41,26,24,10,2,7,2,2,1,2,1,2
"Bger_05478",502,862,212,730,79,490,22,122,14,12,119,89,84,71,50,61,40,64,55,42,43,30
"Bger_05480",408,768,184,1117,97,807,152,395,66,79,119,156,74,51,60,57,49,73,67,62,60,63
"Bger_05479",217,276,59,312,41,113,140,158,68,35,116,124,49,39,32,35,26,45,30,35,37,30
"Bger_05477",470,943,169,601,70,390,142,278,305,258,378,257,340,268,275,334,179,434,234,219,440,373
"Bger_05481",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_05483",6,4,4,4,0,4,1,0,0,1,12,6,13,14,7,4,2,16,3,9,11,7
"Bger_05482",2,1,0,1,0,0,4,2,0,0,5,4,5,2,0,4,1,5,0,1,3,2
"Bger_05493",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_05484",244,562,105,453,84,313,325,656,143,174,307,275,205,112,193,146,118,162,180,136,173,140
"Bger_05490",560,559,331,508,60,200,133,144,146,85,327,259,106,101,91,118,52,123,107,83,87,48
"Bger_05485",76,181,20,155,25,109,69,258,36,59,61,80,58,37,61,42,30,32,39,25,51,36
"Bger_05488",186,393,122,382,18,118,0,42,2,1,16,16,9,10,3,9,5,11,13,12,13,13
"Bger_05489",170,262,102,265,19,82,1,18,2,4,14,11,6,5,2,6,1,8,9,8,9,9
"Bger_05487",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Bger_05491",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Bger_05486",14,5,4,8,9,10,70,30,46,13,42,14,15,18,9,16,4,11,8,3,11,5
"Bger_05492",6,1,0,3,1,2,17,13,13,6,6,4,3,5,0,4,2,1,2,1,1,4
"Bger_19808",0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Bger_19809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_19804",84,143,47,178,9,60,21,35,21,14,53,29,14,10,8,6,6,6,8,11,9,8
"Bger_19811",4,10,1,4,3,3,3,8,1,2,2,2,311,307,228,483,163,423,101,72,68,34
"Bger_19810",1,2,0,1,0,1,0,3,3,0,3,5,6,2,54,104,77,195,115,145,100,46
"Bger_19812",67,31,0,7,0,1,8,11,12,339,6,3,2,2,132,218,7,23,56,36,79,58
"Bger_19806",1,0,0,0,1,1,5,5,1,1,2,0,0,0,0,0,0,1,0,0,1,0
"Bger_19807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_19805",79,25,26,33,86,64,287,206,33,17,36,26,29,26,7,15,11,17,6,8,4,7
"Bger_11135",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Bger_11134",543,603,300,1184,99,709,99,172,222,149,213,167,105,79,107,117,62,134,92,91,100,82
"Bger_11145",678,457,936,1796,441,1669,191,299,68,16,128,55,26,8,18,26,20,30,18,19,24,14
"Bger_11143",208,290,150,448,31,170,34,88,7,3,11,21,3,1,6,11,6,10,19,11,8,2
"Bger_11136",506,708,223,618,70,341,20,57,27,27,96,40,33,16,53,37,19,45,43,29,27,34
"Bger_11141",313,361,244,524,90,427,54,105,60,27,85,89,68,31,42,32,22,34,42,40,48,35
"Bger_11140",620,317,233,408,62,199,283,160,691,231,389,150,110,86,184,203,75,193,164,129,103,73
"Bger_11142",1937,2257,1169,2811,431,1739,479,791,132,98,139,134,68,51,76,67,63,101,79,56,82,67
"Bger_11139",56,241,22,238,73,427,245,911,76,151,124,216,101,76,93,49,38,34,49,58,51,41
"Bger_11137",163,362,83,407,319,839,685,1878,150,193,180,367,188,154,99,66,47,84,87,95,81,78
"Bger_11147",2,2,1,3,0,0,1,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0
"Bger_11146",614,889,385,1104,119,552,295,599,96,56,113,113,66,50,28,55,13,37,22,27,59,32
"Bger_11138",135,285,87,340,247,710,416,1276,123,203,180,367,188,121,109,85,49,65,85,106,92,68
"Bger_11148",32,61,33,67,16,74,65,92,44,27,61,42,24,25,7,25,5,22,6,21,15,15
"Bger_11144",1,4,1,1,1,1,13,4,8,2,14,11,0,0,4,5,0,4,0,0,1,1
"Bger_11150",5,0,0,2,2,2,15,13,5,1,10,5,4,0,1,2,3,3,0,2,0,2
"Bger_11149",714,855,491,1223,80,350,317,435,239,234,556,476,235,154,621,461,270,368,498,466,167,198
"Bger_11151",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Bger_05862",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_05861",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Bger_05863",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_05865",16,12,3,13,2,14,9,15,29,17,98,63,19,14,12,20,3,19,16,18,21,11
"Bger_05869",2,0,0,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0
