"","GeneID","Length"
"1","Bger_05466",15695
"2","Bger_05465",4489
"3","Bger_05464",31533
"4","Bger_05469",1210
"5","Bger_05468",13440
"6","Bger_05470",1008
"7","Bger_05467",369
"8","Bger_05472",25207
"9","Bger_05474",4171
"10","Bger_05476",32065
"11","Bger_05473",3822
"12","Bger_05471",2028
"13","Bger_05475",19625
"14","Bger_05478",44398
"15","Bger_05480",58170
"16","Bger_05479",40061
"17","Bger_05477",38166
"18","Bger_05481",297
"19","Bger_05483",7169
"20","Bger_05482",282
"21","Bger_05493",469
"22","Bger_05484",84664
"23","Bger_05490",30505
"24","Bger_05485",6745
"25","Bger_05488",25931
"26","Bger_05489",1679
"27","Bger_05487",1229
"28","Bger_05491",330
"29","Bger_05486",207
"30","Bger_05492",19541
"31","Bger_19808",513
"32","Bger_19809",309
"33","Bger_19804",54553
"34","Bger_19811",30096
"35","Bger_19810",31922
"36","Bger_19812",91190
"37","Bger_19806",17007
"38","Bger_19807",207
"39","Bger_19805",16615
"40","Bger_11135",460
"41","Bger_11134",47554
"42","Bger_11145",15115
"43","Bger_11143",16292
"44","Bger_11136",20239
"45","Bger_11141",59961
"46","Bger_11140",3754
"47","Bger_11142",67896
"48","Bger_11139",3188
"49","Bger_11137",513
"50","Bger_11147",618
"51","Bger_11146",13501
"52","Bger_11138",12695
"53","Bger_11148",10502
"54","Bger_11144",14155
"55","Bger_11150",11188
"56","Bger_11149",35633
"57","Bger_11151",177
"58","Bger_05862",306
"59","Bger_05861",285
"60","Bger_05863",210
"61","Bger_05865",15415
"62","Bger_05869",312
"63","Bger_05864",6005
"64","Bger_05866",180
"65","Bger_05876",27919
"66","Bger_05878",621
"67","Bger_05879",198
"68","Bger_05873",9025
"69","Bger_05872",63073
"70","Bger_05877",474
"71","Bger_05874",26337
"72","Bger_05868",20671
"73","Bger_05870",294
"74","Bger_05867",261
"75","Bger_05875",17179
"76","Bger_05871",9035
"77","Bger_05883",2284
"78","Bger_05885",19450
"79","Bger_05888",65863
"80","Bger_05890",74421
"81","Bger_05889",7935
"82","Bger_05898",315
"83","Bger_05897",57797
"84","Bger_05881",1564
"85","Bger_05884",19366
"86","Bger_05882",204
"87","Bger_05880",2990
"88","Bger_05887",36090
"89","Bger_05886",480
"90","Bger_05893",216
"91","Bger_05892",216
"92","Bger_05891",535
"93","Bger_05894",2093
"94","Bger_05899",222
"95","Bger_28477",591
"96","Bger_28061",3777
"97","Bger_21489",9045
"98","Bger_21497",49202
"99","Bger_21488",31044
"100","Bger_21492",44976
"101","Bger_21496",323
"102","Bger_21494",61595
"103","Bger_21495",492
"104","Bger_21491",2415
"105","Bger_21490",1122
"106","Bger_21493",2257
"107","Bger_27939",279
"108","Bger_27938",44511
"109","Bger_20211",7422
"110","Bger_20212",35883
"111","Bger_20210",139381
"112","Bger_20216",302
"113","Bger_20215",306
"114","Bger_20213",201
"115","Bger_20217",402
"116","Bger_20218",204
"117","Bger_20214",327
"118","Bger_20220",204
"119","Bger_20221",9858
"120","Bger_20222",309
